Gols,Pontos,Casa,,,
-6.33,-5,1,2020,Corinthians,Santos
-3.75,-1,1,2020,Goiás,Fluminense
-3.33,-1,0,2020,Coritiba,Grêmio
-2.74,-4,1,2020,Fortaleza,Atlético Mineiro
-1.92,-3,1,2020,Bahia,Vasco da Gama
-1.11,-1,0,2020,Internacional,Bragantino
-1.06,-3,0,2020,Ceará,Atl Paranaense
-0.75,-3,1,2020,São Paulo,Atl Goianiense
-0.42,0,1,2020,Flamengo,Sport Recife
1.06,3,1,2020,Atl Paranaense,Ceará
1.92,3,0,2020,Vasco da Gama,Bahia
3.75,1,0,2020,Fluminense,Goiás
4.86,5,0,2020,Palmeiras,Botafogo (RJ)